customerid,customer_name,gender,country,state,dob,subscription_start_date,subscription_type,renewal_date,plan_type,contract_type,cancellation_date,cancellation_reason,monthly_charges,cltv,churn_score,churn_flag,escalations,csat_score,complaint_count
100011,Lajita Chatterjee,Male,India,Maharashtra,1979-06-15,2022-03-02 09:36:20,Regular,2022-07-29 09:36:20,Basic,Monthly,2022-05-24 09:36:20,Poor Service,388,21340.0,65,1,0,1,0
100012,Hemangini Lalla,Female,India,Tamil Nadu,2002-10-19,2022-09-26 21:13:20,Regular,2023-05-21 21:13:20,Basic,Monthly,2023-01-16 21:13:20,Poor Service,417,7923.0,86,1,1,1,5
100013,Tripti Yadav,Female,India,Gujarat,1979-12-02,2024-12-19 23:33:35,Regular,2025-08-29 23:33:35,Basic,Annual,,Active,464,15776.0,17,0,0,5,1
100014,Kritika Brar,Male,India,Tamil Nadu,1966-09-06,2022-11-27 00:39:40,Regular,2023-11-06 00:39:40,Basic,Monthly,,Active,463,7871.0,27,0,0,3,1
100015,Janaki Handa,Male,India,Maharashtra,1970-02-16,2023-03-29 23:25:50,Regular,2024-01-12 23:25:50,Basic,Monthly,,Active,361,12996.0,34,0,0,3,1
100016,Chakradev Kari,Male,India,Maharashtra,1996-01-25,2023-05-03 06:40:54,Regular,2023-09-20 06:40:54,Basic,Monthly,,Active,303,8181.0,39,0,0,5,0
100017,Fariq Kaul,Male,India,Maharashtra,1986-02-23,2023-06-24 15:24:10,Regular,2023-11-24 15:24:10,Standard,Monthly,,Active,765,28305.0,36,0,0,4,1
100018,Lajita Mall,Female,India,Karnataka,2003-01-13,2023-09-17 14:32:39,Premium,2024-04-02 14:32:39,Premium,Monthly,,Active,939,31738.2,16,0,0,4,0
100019,Janya Gaba,Male,India,Gujarat,2002-12-24,2023-02-21 22:18:05,Regular,2023-07-13 22:18:05,Basic,Annual,,Active,422,24476.0,54,0,0,2,1
100020,Isha Kadakia,Male,India,Uttar Pradesh,2003-01-02,2024-10-24 12:11:10,Premium,2025-01-21 12:11:10,Premium,Monthly,,Active,1172,65514.8,23,0,0,5,0
100021,Ekbal Garg,Female,India,Tamil Nadu,1984-09-07,2024-05-14 17:32:54,Regular,2025-04-26 17:32:54,Basic,Monthly,2024-09-26 17:32:54,Poor Service,391,19941.0,100,1,2,2,5
100022,Nihal Shere,Male,India,Delhi,2001-10-22,2023-02-13 23:02:53,Regular,2023-03-25 23:02:53,Basic,Monthly,2023-07-03 23:02:53,Poor Service,489,14670.0,80,1,1,1,4
100023,Anamika Kanda,Male,India,Rajasthan,1999-12-01,2024-03-17 01:04:22,Regular,2024-05-05 01:04:22,Basic,Monthly,2025-03-09 01:04:22,Poor Service,333,8325.0,75,1,0,2,2
100024,Daksh Karnik,Male,India,Telangana,2002-09-11,2023-06-07 12:52:53,Regular,2024-02-09 12:52:53,Standard,Annual,,Active,855,50445.0,23,0,0,4,0
100025,Diya Rattan,Male,India,Rajasthan,1996-08-31,2023-02-18 14:21:28,Regular,2023-08-01 14:21:28,Basic,Monthly,,Active,426,23430.0,25,0,0,4,2
100026,Dominic Kakar,Female,India,Gujarat,1979-10-01,2023-12-27 20:49:58,Regular,2024-03-27 20:49:58,Standard,Monthly,,Active,515,23690.0,48,0,2,4,3
100027,Simon Tata,Male,India,Karnataka,1984-01-04,2023-07-18 06:26:37,Regular,2023-12-13 06:26:37,Standard,Monthly,2024-03-29 06:26:37,Poor Service,814,30118.0,71,1,0,1,3
100028,Tara Dhar,Male,India,Maharashtra,2005-05-01,2024-11-10 04:23:35,Regular,2025-10-25 04:23:35,Standard,Monthly,,Active,520,24960.0,33,0,0,4,0
100029,Liam Koshy,Female,India,Telangana,1996-03-02,2023-06-09 07:22:51,Regular,2024-01-10 07:22:51,Standard,Monthly,2024-04-25 07:22:51,Poor Service,515,12360.0,100,1,3,2,3
100030,Priya Rastogi,Male,India,Maharashtra,2004-12-03,2024-11-25 02:32:41,Premium,2025-05-05 02:32:41,Premium,Annual,,Active,1254,94551.6,56,0,0,4,2
100031,Theodore Devi,Female,India,Karnataka,1988-12-25,2023-02-18 21:54:46,Regular,2023-10-05 21:54:46,Basic,Monthly,,Active,489,9291.0,35,0,0,4,1
100032,Gavin Batta,Male,India,Gujarat,1998-09-30,2024-05-27 16:38:01,Regular,2025-02-23 16:38:01,Basic,Annual,,Active,372,9300.0,21,0,0,3,0
100033,Michael Dutta,Male,India,Gujarat,1965-09-02,2023-02-06 08:59:10,Regular,2023-07-27 08:59:10,Standard,Annual,,Active,568,21016.0,24,0,0,4,1
100034,Devansh Rajan,Female,India,Gujarat,1965-01-21,2023-07-27 14:20:35,Regular,2024-04-30 14:20:35,Standard,Annual,,Active,551,31958.0,11,0,0,4,2
100035,Upadhriti Wadhwa,Female,India,Maharashtra,2001-09-30,2022-09-15 10:39:10,Regular,2023-03-14 10:39:10,Basic,Monthly,2022-10-23 10:39:10,Poor Service,399,16359.0,92,1,2,2,5
100036,Advay Contractor,Female,India,Delhi,2003-02-08,2024-12-10 10:01:20,Regular,2025-10-27 10:01:20,Basic,Monthly,,Active,377,19227.0,44,0,0,5,1
100037,Harini Choudhury,Male,India,Tamil Nadu,1988-07-04,2022-04-20 15:18:47,Regular,2022-08-17 15:18:47,Standard,Annual,,Active,834,44202.0,21,0,1,4,1
100038,Radhika Dugar,Male,India,Rajasthan,2002-07-27,2024-10-05 14:31:31,Regular,2025-08-10 14:31:31,Basic,Annual,2025-05-30 14:31:31,Poor Service,321,7704.0,85,1,3,1,4
100039,Aarush Lall,Female,India,Telangana,2001-05-06,2023-01-17 14:41:38,Regular,2023-05-08 14:41:38,Basic,Annual,,Active,486,22842.0,20,0,1,4,0
100040,Yashica Cherian,Male,India,Rajasthan,1980-10-16,2024-04-16 21:46:04,Premium,2024-06-05 21:46:04,Premium,Monthly,,Active,1131,32346.600000000002,42,0,1,4,2
100041,Yashica Issac,Male,India,Telangana,1997-11-15,2022-02-03 23:01:55,Regular,2022-05-06 23:01:55,Standard,Monthly,,Active,517,6721.0,48,0,2,4,0
100042,Kashvi Edwin,Male,India,Gujarat,1993-01-21,2024-07-23 22:39:03,Regular,2025-06-20 22:39:03,Standard,Annual,,Active,717,29397.0,17,0,0,5,1
100043,Ekiya Suresh,Male,India,Maharashtra,1974-08-17,2023-04-15 12:29:53,Regular,2024-04-03 12:29:53,Standard,Monthly,,Active,772,27020.0,32,0,0,5,1
100044,Isaac Patil,Female,India,Tamil Nadu,1993-12-07,2024-02-01 22:15:31,Premium,2024-11-27 22:15:31,Premium,Monthly,,Active,1367,51535.9,48,0,2,5,1
100045,Wriddhish Bhardwaj,Male,India,Tamil Nadu,1970-03-26,2023-04-26 14:36:04,Regular,2023-12-29 14:36:04,Basic,Monthly,,Active,490,16660.0,44,0,0,4,1
100046,Farhan Chada,Female,India,Gujarat,1988-03-22,2024-12-01 05:46:48,Regular,2025-09-16 05:46:48,Basic,Monthly,,Active,320,5440.0,38,0,0,4,0
100047,Ekapad Walia,Male,India,Delhi,1981-02-08,2024-05-24 02:28:17,Regular,2024-11-01 02:28:17,Standard,Monthly,2025-03-10 02:28:17,Poor Service,848,48336.0,65,1,0,1,1
100048,Kabir Soman,Female,India,Gujarat,1994-06-08,2024-06-10 19:08:03,Regular,2024-12-28 19:08:03,Standard,Monthly,,Active,508,11176.0,54,0,1,5,2
100049,Alka Wable,Female,India,Karnataka,2001-02-20,2024-12-03 20:09:25,Regular,2025-04-25 20:09:25,Basic,Monthly,2025-09-01 20:09:25,Poor Service,300,5400.0,87,1,2,1,2
100050,Siddharth Zacharia,Male,India,Gujarat,1988-06-01,2023-01-01 12:26:24,Premium,2023-08-09 12:26:24,Premium,Monthly,,Active,1426,107520.40000000001,29,0,0,5,2
100051,Devika Rastogi,Female,India,Maharashtra,1987-02-11,2024-12-26 19:59:01,Regular,2025-04-17 19:59:01,Standard,Monthly,2025-06-16 19:59:01,Poor Service,521,22924.0,83,1,0,2,5
100052,Raksha Varughese,Female,India,Telangana,1969-06-11,2023-07-26 12:54:52,Regular,2024-01-25 12:54:52,Basic,Monthly,,Active,478,10038.0,25,0,0,3,3
100053,Jai Kota,Female,India,Maharashtra,1976-10-24,2023-09-06 16:37:35,Regular,2024-04-07 16:37:35,Basic,Annual,2023-12-08 16:37:35,Poor Service,312,9984.0,62,1,1,2,1
100054,Devansh Nigam,Female,India,Maharashtra,1998-08-22,2024-02-04 03:13:39,Regular,2024-10-29 03:13:39,Basic,Monthly,2024-04-21 03:13:39,Poor Service,335,6700.0,84,1,0,2,2
100055,Victor Kannan,Female,India,Delhi,1971-09-20,2023-04-06 03:10:28,Regular,2024-03-18 03:10:28,Standard,Monthly,2023-10-19 03:10:28,Poor Service,671,27511.0,65,1,0,1,1
100056,Ekavir Bhargava,Female,India,Tamil Nadu,1970-07-09,2023-03-17 03:14:16,Premium,2023-07-26 03:14:16,Premium,Annual,,Active,1420,108914.0,18,0,0,5,1
100057,Ekansh Balay,Male,India,Delhi,1993-01-06,2023-06-12 04:38:55,Regular,2023-12-20 04:38:55,Basic,Annual,,Active,362,21358.0,36,0,1,4,1
100058,Ekavir Varkey,Male,India,Karnataka,1993-01-10,2024-09-14 17:11:00,Premium,2025-02-16 17:11:00,Premium,Monthly,,Active,970,45396.0,37,0,1,5,2
100059,Arya Sunder,Male,India,Gujarat,1972-09-01,2024-07-02 14:13:58,Premium,2025-05-17 14:13:58,Premium,Monthly,,Active,1038,48578.4,34,0,0,5,1
100060,Kevin Solanki,Male,India,Karnataka,1995-07-25,2022-11-28 08:22:22,Regular,2023-05-06 08:22:22,Standard,Monthly,,Active,853,51180.0,50,0,1,4,1
100061,Urvashi Ray,Male,India,Rajasthan,1989-09-15,2024-04-30 13:47:26,Regular,2025-03-24 13:47:26,Standard,Monthly,,Active,751,26285.0,36,0,0,5,0
100062,Girindra Chatterjee,Male,India,Rajasthan,1992-05-04,2022-10-04 21:32:41,Regular,2023-09-26 21:32:41,Basic,Annual,,Active,327,7521.0,16,0,0,4,2
100063,Irya Sampath,Female,India,Gujarat,1997-07-16,2024-09-24 17:34:48,Regular,2024-11-13 17:34:48,Standard,Annual,2025-03-25 17:34:48,Poor Service,866,15588.0,66,1,0,1,1
100064,Unni Bhagat,Male,India,Karnataka,1992-05-02,2023-12-03 11:16:55,Regular,2024-05-20 11:16:55,Basic,Annual,2024-07-27 11:16:55,Poor Service,326,14670.0,60,1,0,2,2
100065,Darsh Rau,Male,India,Telangana,1995-03-18,2024-02-08 19:55:43,Regular,2024-04-13 19:55:43,Standard,Monthly,,Active,512,7168.0,32,0,0,3,0
100066,Ikbal Kothari,Female,India,Maharashtra,2002-01-18,2024-10-08 12:23:58,Regular,2025-07-21 12:23:58,Basic,Monthly,,Active,371,6307.0,34,0,0,5,1
100067,Ranveer Yadav,Male,India,Delhi,2000-04-09,2022-08-20 02:50:42,Premium,2023-02-09 02:50:42,Premium,Annual,,Active,1299,64170.600000000006,55,0,0,5,0
100068,Logan Sami,Female,India,Karnataka,1993-04-30,2024-04-27 06:52:26,Premium,2024-07-14 06:52:26,Premium,Monthly,,Active,1012,39468.0,24,0,0,5,1
100069,Arya Shere,Male,India,Rajasthan,1989-01-07,2022-01-30 19:58:52,Regular,2022-03-06 19:58:52,Basic,Monthly,2022-09-24 19:58:52,Poor Service,430,8170.0,72,1,0,1,3
100070,Faqid Savant,Female,India,Maharashtra,1983-06-28,2024-06-24 02:19:04,Regular,2024-11-24 02:19:04,Basic,Annual,,Active,360,16920.0,14,0,0,3,0
100071,Chandresh Zachariah,Female,India,Gujarat,2003-06-06,2022-08-22 11:16:51,Regular,2023-05-03 11:16:51,Standard,Monthly,,Active,594,29700.0,41,0,0,5,1
100072,Girik Khalsa,Male,India,Telangana,1985-05-29,2022-11-12 22:46:17,Regular,2023-09-06 22:46:17,Standard,Monthly,,Active,867,40749.0,47,0,1,3,0
100073,Niharika Sunder,Male,India,Delhi,2004-04-09,2024-11-20 10:27:30,Regular,2025-06-10 10:27:30,Basic,Annual,,Active,304,8816.0,19,0,0,4,0
100074,Tanay Rattan,Female,India,Maharashtra,1972-10-24,2024-10-10 09:02:50,Regular,2024-11-17 09:02:50,Standard,Monthly,,Active,667,12006.0,44,0,1,5,1
100075,Nitesh Raghavan,Female,India,Rajasthan,1971-02-15,2024-05-25 13:18:07,Regular,2025-02-05 13:18:07,Basic,Monthly,2025-02-03 13:18:07,Poor Service,370,4440.0,85,1,0,1,2
100076,Madhavi Lanka,Female,India,Gujarat,1976-06-08,2024-02-06 12:39:05,Regular,2024-08-09 12:39:05,Basic,Monthly,,Active,314,5024.0,56,0,2,4,1
100077,Bhavika Sampath,Female,India,Tamil Nadu,1970-11-26,2024-03-30 09:56:45,Regular,2024-11-06 09:56:45,Basic,Monthly,,Active,336,17808.0,36,0,0,3,0
100078,Mohammed Gupta,Male,India,Karnataka,1991-02-10,2023-07-25 01:41:58,Regular,2024-01-30 01:41:58,Basic,Monthly,,Active,475,11875.0,31,0,0,5,0
100079,Teerth Bhardwaj,Male,India,Delhi,1980-08-08,2022-11-21 23:50:58,Regular,2023-04-18 23:50:58,Standard,Monthly,,Active,629,7548.0,45,0,1,5,2
100080,Dipta Bhandari,Male,India,Delhi,1983-09-13,2022-06-04 17:06:09,Premium,2022-09-30 17:06:09,Premium,Monthly,2023-03-23 17:06:09,Relocation,998,29840.2,74,1,0,4,3
100081,Vansha Thakkar,Female,India,Maharashtra,1988-05-17,2023-04-27 18:07:59,Regular,2023-11-22 18:07:59,Basic,Annual,,Active,424,12720.0,21,0,0,5,2
100082,Dakshesh Trivedi,Female,India,Maharashtra,1970-03-02,2022-04-16 04:14:50,Regular,2023-04-10 04:14:50,Standard,Monthly,,Active,657,8541.0,58,0,3,3,0
100083,Quincy Biswas,Male,India,Uttar Pradesh,1982-09-20,2022-08-06 14:23:49,Regular,2023-01-14 14:23:49,Basic,Annual,2023-01-28 14:23:49,Poor Service,476,11900.0,87,1,2,2,4
100084,Wahab Raval,Male,India,Karnataka,1988-12-12,2023-08-10 05:42:07,Regular,2023-10-03 05:42:07,Standard,Monthly,,Active,509,7126.0,44,0,1,4,0
100085,Yatin Baral,Male,India,Maharashtra,1975-04-29,2022-03-16 15:25:32,Regular,2022-07-03 15:25:32,Basic,Annual,,Active,411,18906.0,29,0,0,4,1
100086,Oni Virk,Male,India,Gujarat,1999-06-21,2023-08-22 17:40:13,Regular,2023-11-22 17:40:13,Standard,Monthly,,Active,521,12504.0,36,0,1,4,1
100087,Advika Jayaraman,Female,India,Telangana,1987-12-23,2024-04-09 16:44:50,Premium,2025-02-28 16:44:50,Premium,Monthly,,Active,999,77922.0,15,0,0,5,0
100088,William Lanka,Female,India,Maharashtra,1973-01-19,2024-11-26 08:04:41,Regular,2025-04-12 08:04:41,Basic,Annual,,Active,438,6132.0,53,0,3,4,3
100089,Karan Mital,Female,India,Gujarat,1974-07-23,2022-04-25 07:01:46,Regular,2023-04-14 07:01:46,Standard,Monthly,,Active,683,17075.0,51,0,1,5,3
100090,Diya Bora,Male,India,Maharashtra,2001-07-21,2024-02-04 13:20:13,Regular,2024-09-04 13:20:13,Basic,Monthly,,Active,369,16605.0,28,0,0,5,2
100091,Tara Chaudhry,Male,India,Maharashtra,1986-08-18,2024-04-24 21:15:29,Regular,2024-10-21 21:15:29,Basic,Monthly,,Active,498,27888.0,33,0,0,4,0
100092,Tanay Toor,Female,India,Maharashtra,1965-11-03,2022-06-25 19:54:26,Regular,2022-10-16 19:54:26,Basic,Annual,2022-11-29 19:54:26,Poor Service,429,8580.0,66,1,1,2,2
100093,Kevin Palla,Female,India,Uttar Pradesh,1973-06-03,2024-10-05 04:52:39,Regular,2025-09-20 04:52:39,Basic,Monthly,,Active,347,7287.0,55,0,1,5,2
100094,Yash Pingle,Female,India,Maharashtra,1969-07-15,2024-04-20 08:42:27,Regular,2025-03-22 08:42:27,Basic,Monthly,,Active,319,6061.0,51,0,1,4,0
100095,Nakul Sarma,Female,India,Maharashtra,2003-10-08,2023-06-08 14:44:49,Regular,2024-03-11 14:44:49,Basic,Monthly,,Active,434,17360.0,57,0,3,5,1
100096,Abhiram Mistry,Male,India,Delhi,1984-11-01,2022-09-21 05:39:10,Regular,2023-07-28 05:39:10,Basic,Monthly,2023-07-09 05:39:10,Poor Service,362,18100.0,65,1,0,2,0
100097,Krish Lalla,Female,India,Uttar Pradesh,1983-02-07,2022-07-21 22:29:43,Regular,2023-03-15 22:29:43,Basic,Monthly,,Active,485,21340.0,34,0,0,4,0
100098,Hredhaan Dugal,Male,India,Karnataka,1982-04-24,2024-08-09 03:35:33,Regular,2025-07-01 03:35:33,Standard,Monthly,,Active,682,23188.0,39,0,1,5,1
100099,Baghyawati Kade,Male,India,Delhi,1972-05-16,2022-10-24 18:42:00,Premium,2022-11-27 18:42:00,Premium,Monthly,,Active,1281,31640.7,18,0,0,4,0
100100,Samar Lalla,Male,India,Maharashtra,2003-09-13,2022-08-14 18:17:33,Regular,2023-04-28 18:17:33,Basic,Monthly,2023-01-03 18:17:33,Relocation,318,16218.0,73,1,3,4,5
100101,Zayan Behl,Male,India,Delhi,1969-10-31,2022-01-20 12:02:38,Regular,2022-08-29 12:02:38,Basic,Annual,,Active,314,15386.0,25,0,1,5,0
100102,Pallavi Malhotra,Female,India,Gujarat,1965-10-03,2022-08-28 00:14:47,Regular,2023-02-07 00:14:47,Basic,Annual,,Active,451,15334.0,45,0,3,4,0
100103,Aarush Nath,Male,India,Gujarat,1979-06-08,2023-08-23 06:09:03,Premium,2023-12-06 06:09:03,Premium,Annual,,Active,1311,80102.1,8,0,0,4,0
100104,Adweta Edwin,Male,India,Karnataka,1985-01-27,2024-12-16 11:44:35,Regular,2025-11-12 11:44:35,Standard,Monthly,2025-10-09 11:44:35,Poor Service,619,33426.0,84,1,0,1,2
100105,Prisha Andra,Female,India,Karnataka,1996-08-19,2023-09-03 17:47:08,Regular,2024-01-20 17:47:08,Standard,Annual,,Active,660,20460.0,18,0,0,4,0
100106,Faqid Dixit,Male,India,Maharashtra,1991-04-08,2022-10-08 01:10:36,Regular,2023-04-21 01:10:36,Basic,Monthly,,Active,477,28143.0,39,0,0,3,2
100107,Kala Divan,Male,India,Karnataka,2005-12-13,2023-03-06 16:29:59,Regular,2023-06-04 16:29:59,Basic,Annual,2023-09-12 16:29:59,Poor Service,401,9223.0,79,1,1,2,2
100108,Joshua Barman,Female,India,Maharashtra,2000-05-22,2024-03-13 10:23:28,Regular,2024-08-19 10:23:28,Basic,Monthly,,Active,359,16873.0,32,0,0,4,1
100109,Janya Baral,Male,India,Telangana,1992-04-16,2023-12-25 05:34:50,Premium,2024-01-26 05:34:50,Premium,Monthly,2024-10-26 05:34:50,High Pricing,1349,35074.0,66,1,1,5,0
100110,Shivansh Krish,Male,India,Rajasthan,1996-09-08,2022-01-14 20:59:31,Premium,2022-06-27 20:59:31,Premium,Monthly,,Active,1375,78650.0,24,0,0,4,2
100111,Irya Ray,Male,India,Rajasthan,1978-10-05,2023-09-25 04:17:40,Regular,2024-05-04 04:17:40,Basic,Monthly,,Active,359,6103.0,48,0,1,4,1
100112,Warjas Gaba,Male,India,Uttar Pradesh,1976-02-03,2022-03-09 06:17:16,Regular,2022-06-08 06:17:16,Standard,Annual,,Active,855,36765.0,21,0,1,4,0
100113,Nitara Bakshi,Female,India,Gujarat,1987-02-15,2024-02-20 21:25:36,Regular,2025-01-24 21:25:36,Basic,Annual,,Active,374,4488.0,52,0,3,3,0
100114,Gaurangi Sabharwal,Female,India,Tamil Nadu,1974-06-23,2024-10-01 19:01:53,Regular,2025-07-02 19:01:53,Basic,Annual,2025-05-04 19:01:53,Poor Service,313,10955.0,68,1,0,2,0
100115,Amara Dutta,Female,India,Karnataka,1992-07-30,2022-09-13 21:46:52,Premium,2022-12-04 21:46:52,Premium,Monthly,,Active,1133,58916.0,21,0,0,4,1
100116,Lavanya Barad,Female,India,Tamil Nadu,1975-07-03,2022-11-14 21:18:25,Regular,2022-12-22 21:18:25,Standard,Monthly,,Active,812,15428.0,56,0,2,3,1
100117,Tristan Iyengar,Female,India,Delhi,1976-09-18,2024-03-31 12:38:02,Regular,2024-09-05 12:38:02,Basic,Monthly,,Active,449,10776.0,30,0,0,5,0
100118,Inaya Mody,Male,India,Delhi,1970-01-19,2024-07-15 23:48:12,Regular,2024-11-29 23:48:12,Basic,Annual,,Active,453,16308.0,12,0,0,5,2
100119,Udant Bajwa,Female,India,Telangana,1996-09-04,2024-04-27 04:55:42,Premium,2025-03-14 04:55:42,Premium,Monthly,,Active,950,49400.0,39,0,2,5,1
100120,Mohini Narasimhan,Female,India,Karnataka,1965-03-13,2023-02-02 03:58:32,Regular,2023-04-22 03:58:32,Standard,Annual,,Active,513,17955.0,13,0,0,4,2
100121,Ekaraj Mallick,Female,India,Karnataka,1985-03-23,2024-11-12 20:20:37,Regular,2025-07-11 20:20:37,Standard,Monthly,,Active,576,21888.0,38,0,0,4,0
100122,Yashodhara Ratta,Female,India,Rajasthan,1983-10-16,2022-10-12 23:06:36,Regular,2023-01-18 23:06:36,Basic,Monthly,,Active,463,17131.0,30,0,0,4,1
100123,Ayaan D’Alia,Male,India,Maharashtra,1985-02-05,2023-12-09 17:21:52,Regular,2024-04-14 17:21:52,Basic,Annual,,Active,455,14105.0,26,0,0,3,2
100124,Pranav Lanka,Male,India,Delhi,1992-01-08,2023-12-14 03:37:18,Premium,2024-04-24 03:37:18,Premium,Monthly,,Active,1392,27144.0,41,0,1,5,0
100125,Ikbal Saraf,Male,India,Rajasthan,1990-12-23,2023-02-20 23:03:50,Regular,2023-04-06 23:03:50,Standard,Monthly,2023-10-17 23:03:50,Poor Service,719,23727.0,77,1,0,2,3
100126,Dipta Sarin,Male,India,Tamil Nadu,1985-11-27,2023-12-07 01:56:28,Regular,2024-03-24 01:56:28,Basic,Monthly,,Active,373,6714.0,46,0,1,4,1
100127,Lekha Gupta,Female,India,Gujarat,2004-12-26,2022-09-06 03:11:03,Regular,2023-05-26 03:11:03,Standard,Annual,,Active,793,22997.0,51,0,0,2,0
100128,Chaitanya Sarin,Female,India,Karnataka,1967-11-10,2022-07-24 18:12:16,Regular,2023-04-10 18:12:16,Standard,Monthly,,Active,641,13461.0,58,0,2,4,2
100129,Zinal Yohannan,Male,India,Karnataka,1994-08-14,2023-08-11 08:49:44,Regular,2024-07-03 08:49:44,Basic,Monthly,,Active,326,13692.0,29,0,0,3,2
100130,Januja Sankar,Male,India,Uttar Pradesh,1973-05-01,2024-09-07 04:48:49,Regular,2025-03-13 04:48:49,Basic,Monthly,2024-11-17 04:48:49,Poor Service,372,13764.0,82,1,1,1,5
100131,Ganga Murthy,Male,India,Gujarat,1967-03-26,2022-07-15 03:27:03,Regular,2023-04-28 03:27:03,Standard,Monthly,,Active,639,37062.0,59,0,2,4,1
100132,Charita Tripathi,Male,India,Gujarat,1980-05-24,2024-09-19 02:26:10,Regular,2025-05-17 02:26:10,Standard,Monthly,2025-05-28 02:26:10,Poor Service,641,35896.0,83,1,1,2,4
100133,Nilima Narain,Male,India,Maharashtra,1993-06-09,2022-03-15 15:03:29,Regular,2022-10-14 15:03:29,Standard,Monthly,2023-02-09 15:03:29,Poor Service,628,23236.0,80,1,0,2,4
100134,Chakrika Datta,Male,India,Maharashtra,1997-01-05,2022-05-24 19:31:13,Premium,2023-01-03 19:31:13,Premium,Annual,,Active,1324,61963.200000000004,12,0,0,5,1
100135,Osha Raghavan,Female,India,Rajasthan,1985-01-28,2022-06-11 04:09:19,Regular,2022-08-19 04:09:19,Basic,Annual,,Active,425,12325.0,24,0,0,3,3
100136,Charvi Ravi,Male,India,Delhi,1965-11-06,2022-07-27 12:37:36,Regular,2023-03-04 12:37:36,Basic,Monthly,,Active,419,14665.0,38,0,1,5,1
100137,Daksha Mangat,Male,India,Gujarat,1983-03-29,2024-08-21 06:57:12,Premium,2025-07-31 06:57:12,Premium,Annual,,Active,1440,102960.0,15,0,0,4,0
100138,Qushi Nagy,Female,India,Maharashtra,1993-01-27,2023-03-09 04:28:12,Regular,2023-06-07 04:28:12,Basic,Monthly,,Active,315,8190.0,46,0,1,5,0
100139,Riya Sathe,Male,India,Tamil Nadu,1976-07-29,2024-07-31 07:48:05,Regular,2025-02-25 07:48:05,Standard,Monthly,2025-05-15 07:48:05,Poor Service,819,15561.0,100,1,3,2,5
100140,Yasti Solanki,Female,India,Rajasthan,1970-02-21,2022-04-17 06:08:43,Regular,2023-04-13 06:08:43,Standard,Monthly,,Active,595,32130.0,36,0,0,3,1
100141,Frado Mander,Female,India,Gujarat,1995-02-07,2022-10-06 04:15:52,Regular,2023-06-27 04:15:52,Standard,Monthly,,Active,527,18972.0,39,0,0,4,1
100142,Girik Keer,Male,India,Maharashtra,1971-10-23,2024-04-24 17:11:15,Regular,2024-06-28 17:11:15,Basic,Monthly,2024-07-15 17:11:15,Poor Service,494,22724.0,89,1,2,2,3
100143,Umang Issac,Male,India,Gujarat,1983-11-09,2024-08-14 00:10:12,Regular,2025-04-28 00:10:12,Standard,Monthly,2024-11-13 00:10:12,Poor Service,524,18340.0,65,1,0,2,1
100144,Aryan Batra,Male,India,Telangana,1978-03-29,2023-09-06 20:09:36,Premium,2023-11-05 20:09:36,Premium,Annual,,Active,1267,93884.7,19,0,0,5,3
100145,Vaishnavi Bora,Male,India,Delhi,1997-09-07,2024-05-27 00:32:50,Regular,2025-02-05 00:32:50,Standard,Monthly,,Active,660,33660.0,37,0,1,4,1
100146,Oeshi Hayer,Male,India,Uttar Pradesh,1967-03-06,2023-06-24 05:18:13,Regular,2023-11-23 05:18:13,Standard,Annual,,Active,529,25921.0,17,0,0,3,2
